FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,38.902,0.176,289,401,154109
Frame 2,38.976,0.147,289,401,154109
Frame 3,38.822,0.145,289,401,154109
Frame 4,38.638,0.145,289,401,154109
Frame 5,38.404,0.145,289,401,154109
Frame 6,37.926,0.145,289,401,154109
Frame 7,38.186,0.145,289,401,154109
Frame 8,38.039,0.146,289,401,154109
Frame 9,37.608,0.145,289,401,154109
Frame 10,36.979,0.145,289,401,154109
Frame 11,36.66,0.145,289,401,154109
Frame 12,36.707,0.145,289,401,154109
Frame 13,37.098,0.145,289,401,154109
Frame 14,37.508,0.145,289,401,154109
Frame 15,37.485,0.145,289,401,154109
Frame 16,37.262,0.145,289,401,154109
Frame 17,36.841,0.145,289,401,154109
Frame 18,37.175,0.147,289,401,154109
Frame 19,37.315,0.144,289,401,154109
Frame 20,37.048,0.146,289,401,154109
Frame 21,35.988,0.146,289,401,154109
Frame 22,35.041,0.145,289,401,154109
Frame 23,34.757,0.145,289,401,154109
Frame 24,34.729,0.145,289,401,154109
Frame 25,34.632,0.145,289,401,154109
Frame 26,34.316,0.145,289,401,154109
Frame 27,34.585,0.145,289,401,154109
Frame 28,34.58,0.145,289,401,154109
Frame 29,34.116,0.146,289,401,154109
Frame 30,33.912,0.145,289,401,154109
Frame 31,33.354,0.145,289,401,154109
Frame 32,32.743,0.146,289,401,154109
Frame 33,32.393,0.145,289,401,154109
Frame 34,32.032,0.146,289,401,154109
Frame 35,31.768,0.147,289,401,154109
Frame 36,31.465,0.145,289,401,154109
Frame 37,31.483,0.147,289,401,154109
Frame 38,31.509,0.144,289,401,154109
Frame 39,31.54,0.146,289,401,154109
Frame 40,31.578,0.144,289,401,154109
Frame 41,31.618,0.145,289,401,154109
Frame 42,31.649,0.145,289,401,154109
Frame 43,31.644,0.145,289,401,154109
Frame 44,31.631,0.147,289,401,154109
Frame 45,31.634,0.145,289,401,154109
Frame 46,31.679,0.145,289,401,154109
Frame 47,31.75,0.147,289,401,154109
Frame 48,31.75,0.144,289,401,154109
Frame 49,31.758,0.145,289,401,154109
Frame 50,31.747,0.145,289,401,154109
Frame 51,31.743,0.146,289,401,154109
Frame 52,31.745,0.144,289,401,154109
Frame 53,31.733,0.145,289,401,154109
Frame 54,31.747,0.145,289,401,154109
Frame 55,31.784,0.145,289,401,154109
Frame 56,31.794,0.145,289,401,154109
Frame 57,31.773,0.145,289,401,154109
Frame 58,31.727,0.145,289,401,154109
Frame 59,31.723,0.145,289,401,154109
Frame 60,31.714,0.145,289,401,154109
Frame 61,31.717,0.145,289,401,154109
Frame 62,31.789,0.146,289,401,154109
Frame 63,31.834,0.144,289,401,154109
Frame 64,31.774,0.144,289,401,154109
Frame 65,31.721,0.145,289,401,154109
Frame 66,31.63,0.145,289,401,154109
Frame 67,31.555,0.145,289,401,154109
Frame 68,31.545,0.146,289,401,154109
Frame 69,31.544,0.144,289,401,154109
Frame 70,31.582,0.145,289,401,154109
Frame 71,31.616,0.144,289,401,154109
Frame 72,31.625,0.145,289,401,154109
Frame 73,31.628,0.145,289,401,154109
Frame 74,31.635,0.145,289,401,154109
Frame 75,31.64,0.145,289,401,154109
Frame 76,31.609,0.145,289,401,154109
Frame 77,31.551,0.145,289,401,154109
Frame 78,31.524,0.145,289,401,154109
Frame 79,31.528,0.145,289,401,154109
Frame 80,31.531,0.145,289,401,154109
Frame 81,31.531,0.145,289,401,154109
Frame 82,31.534,0.145,289,401,154109
Frame 83,31.545,0.145,289,401,154109
Frame 84,31.558,0.145,289,401,154109
Frame 85,31.576,0.145,289,401,154109
Frame 86,31.615,0.147,289,401,154109
Frame 87,31.679,0.144,289,401,154109
Frame 88,31.767,0.145,289,401,154109
Frame 89,31.845,0.145,289,401,154109
Frame 90,31.891,0.145,289,401,154109
Frame 91,31.959,0.145,289,401,154109
Frame 92,32.002,0.145,289,401,154109
Frame 93,32.008,0.144,289,401,154109
Frame 94,31.98,0.146,289,401,154109
Frame 95,31.868,0.144,289,401,154109
Frame 96,31.753,0.145,289,401,154109
Frame 97,31.655,0.145,289,401,154109
Frame 98,31.579,0.145,289,401,154109
Frame 99,31.571,0.145,289,401,154109
Frame 100,31.581,0.147,289,401,154109
Frame 101,31.604,0.146,289,401,154109
Frame 102,31.639,0.145,289,401,154109
Frame 103,31.672,0.145,289,401,154109
Frame 104,31.708,0.145,289,401,154109
Frame 105,31.738,0.145,289,401,154109
Frame 106,31.755,0.146,289,401,154109
Frame 107,31.742,0.145,289,401,154109
Frame 108,31.691,0.145,289,401,154109
