FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 239,16.683,0.031,76,104,39629
Frame 240,16.683,0.032,78,106,40896
Frame 241,16.683,0.031,75,100,39109
Frame 242,16.683,0.032,77,103,40090
Frame 243,16.683,0.032,77,104,40044
Frame 244,16.683,0.031,75,102,39221
Frame 245,16.683,0.033,77,105,40590
Frame 246,16.683,0.032,76,103,40073
Frame 247,16.683,0.032,76,103,40046
Frame 248,16.683,0.034,76,104,40023
Frame 249,16.683,0.032,76,104,39887
Frame 250,16.683,0.031,74,101,38953
Frame 251,16.683,0.032,75,103,39691
Frame 252,16.683,0.031,75,104,39716
Frame 253,16.683,0.032,75,104,39733
Frame 254,16.683,0.031,74,103,39584
Frame 255,16.683,0.032,75,105,40375
Frame 256,16.683,0.031,75,106,40281


*-*-*-*-*,*-*-*-*-*,*-*-*-*-*,STATISTICS OF:, [RAD_8-OCC_4-BA_Y-LI_Y-STRUC_2-M_Y-VTX_Y-NLD_Y-RM_2.csv],*-*-*-*-*,*-*-*-*-*,*-*-*-*-*
,TYPE, MAX, MIN, MEAN, MEDIAN
,Frame Times,16.684,16.682,16.683,16.683
,Draw Times,0.038,0.025,0.028668,0.028
,Chunks Drawn,78,64,71,72
,Draw Calls,109,91,99,100
,Faces Drawn,40896,34267,37477,37379

MEM USED [SYS](KB),MEM USED [VOXEL](KB),TOTAL MEM USED(KB),TOTAL MEM FREE(KB),CHUNK DRAW MODE,TOTAL CHUNKS,VALID BLOCKS,VALID FACES
1456.02,16486.2,21908.2,2663.82,FRUSTUM CULLED,289,96532,572692
