FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,16.683,0.055,121,159,63789
Frame 2,16.683,0.051,121,159,63789
Frame 3,16.683,0.052,121,159,63789
Frame 4,16.683,0.051,121,159,63789
Frame 5,16.683,0.051,121,159,63789
Frame 6,16.683,0.051,121,159,63789
Frame 7,16.683,0.051,121,159,63789
Frame 8,16.683,0.051,121,159,63789
Frame 9,16.683,0.051,121,159,63789
Frame 10,16.683,0.051,121,159,63789
Frame 11,16.683,0.051,121,159,63789
Frame 12,16.683,0.051,121,159,63789
Frame 13,16.683,0.051,121,159,63789
Frame 14,16.683,0.051,121,159,63789
Frame 15,16.683,0.051,121,159,63789
Frame 16,16.683,0.051,121,159,63789
Frame 17,16.683,0.051,121,159,63789
Frame 18,16.683,0.051,121,159,63789
Frame 19,16.683,0.051,121,159,63789
Frame 20,16.683,0.051,121,159,63789
Frame 21,16.683,0.051,121,159,63789
Frame 22,16.683,0.051,121,159,63789
Frame 23,16.683,0.051,121,159,63789
Frame 24,16.683,0.051,121,159,63789
Frame 25,16.683,0.051,121,159,63789
Frame 26,16.683,0.051,121,159,63789
Frame 27,16.683,0.051,121,159,63789
Frame 28,16.683,0.051,121,159,63789
Frame 29,16.683,0.051,121,159,63789
Frame 30,16.683,0.051,121,159,63789
Frame 31,16.683,0.051,121,159,63789
Frame 32,16.683,0.051,121,159,63789
Frame 33,16.683,0.051,121,159,63789
Frame 34,16.683,0.051,121,159,63789
Frame 35,16.683,0.051,121,159,63789
Frame 36,16.683,0.051,121,159,63789
Frame 37,16.683,0.051,121,159,63789
Frame 38,16.683,0.051,121,159,63789
Frame 39,16.683,0.051,121,159,63789
Frame 40,16.683,0.051,121,159,63789
Frame 41,16.683,0.051,121,159,63789
Frame 42,16.683,0.051,121,159,63789
Frame 43,16.683,0.052,121,159,63789
Frame 44,16.683,0.051,121,159,63789
Frame 45,16.683,0.051,121,159,63789
Frame 46,16.683,0.052,121,159,63789
Frame 47,16.683,0.051,121,159,63789
Frame 48,16.683,0.051,121,159,63789
Frame 49,16.683,0.051,121,159,63789
Frame 50,16.683,0.051,121,159,63789
Frame 51,16.683,0.051,121,159,63789
Frame 52,16.683,0.051,121,159,63789
Frame 53,16.683,0.051,121,159,63789
Frame 54,16.683,0.051,121,159,63789
Frame 55,16.683,0.051,121,159,63789
Frame 56,16.683,0.051,121,159,63789
Frame 57,16.683,0.051,121,159,63789
Frame 58,16.683,0.051,121,159,63789
Frame 59,16.683,0.051,121,159,63789
Frame 60,16.683,0.051,121,159,63789
Frame 61,16.683,0.051,121,159,63789
Frame 62,16.683,0.051,121,159,63789
Frame 63,16.683,0.051,121,159,63789
Frame 64,16.683,0.051,121,159,63789
Frame 65,16.683,0.051,121,159,63789
Frame 66,16.683,0.051,121,159,63789
Frame 67,16.683,0.051,121,159,63789
Frame 68,16.683,0.051,121,159,63789
Frame 69,16.683,0.051,121,159,63789
Frame 70,16.683,0.051,121,159,63789
Frame 71,16.683,0.051,121,159,63789
Frame 72,16.683,0.051,121,159,63789
Frame 73,16.683,0.051,121,159,63789
Frame 74,16.683,0.051,121,159,63789
Frame 75,16.683,0.051,121,159,63789
Frame 76,16.683,0.051,121,159,63789
Frame 77,16.683,0.051,121,159,63789
Frame 78,16.683,0.051,121,159,63789
Frame 79,16.683,0.051,121,159,63789
Frame 80,16.683,0.051,121,159,63789
Frame 81,16.683,0.051,121,159,63789
Frame 82,16.683,0.051,121,159,63789
Frame 83,16.683,0.051,121,159,63789
Frame 84,16.683,0.051,121,159,63789
Frame 85,16.683,0.051,121,159,63789
Frame 86,16.683,0.052,121,159,63789
Frame 87,16.683,0.051,121,159,63789
Frame 88,16.683,0.051,121,159,63789
Frame 89,16.683,0.052,121,159,63789
Frame 90,16.683,0.051,121,159,63789
Frame 91,16.683,0.051,121,159,63789
Frame 92,16.683,0.051,121,159,63789
Frame 93,16.683,0.051,121,159,63789
Frame 94,16.683,0.051,121,159,63789
Frame 95,16.683,0.051,121,159,63789
Frame 96,16.683,0.051,121,159,63789
Frame 97,16.683,0.051,121,159,63789
Frame 98,16.683,0.051,121,159,63789
Frame 99,16.683,0.051,121,159,63789
Frame 100,16.683,0.051,121,159,63789
Frame 101,16.683,0.051,121,159,63789
Frame 102,16.683,0.051,121,159,63789
Frame 103,16.683,0.051,121,159,63789
Frame 104,16.683,0.051,121,159,63789
Frame 105,16.683,0.051,121,159,63789
Frame 106,16.683,0.051,121,159,63789
Frame 107,16.683,0.051,121,159,63789
Frame 108,16.683,0.051,121,159,63789
Frame 109,16.683,0.051,121,159,63789
Frame 110,16.683,0.051,121,159,63789
Frame 111,16.683,0.051,121,159,63789
Frame 112,16.683,0.051,121,159,63789
Frame 113,16.683,0.051,121,159,63789
Frame 114,16.683,0.051,121,159,63789
Frame 115,16.683,0.051,121,159,63789
Frame 116,16.683,0.051,121,159,63789
Frame 117,16.683,0.051,121,159,63789
Frame 118,16.683,0.051,121,159,63789
Frame 119,16.683,0.051,121,159,63789
Frame 120,16.683,0.051,121,159,63789
Frame 121,16.683,0.051,121,159,63789
Frame 122,16.683,0.051,121,159,63789
Frame 123,16.683,0.051,121,159,63789
Frame 124,16.683,0.051,121,159,63789
Frame 125,16.683,0.051,121,159,63789
Frame 126,16.683,0.051,121,159,63789
Frame 127,16.683,0.051,121,159,63789
Frame 128,16.683,0.051,121,159,63789
Frame 129,16.683,0.053,121,159,63789
Frame 130,16.683,0.051,121,159,63789
Frame 131,16.683,0.051,121,159,63789
Frame 132,16.683,0.053,121,159,63789
Frame 133,16.683,0.051,121,159,63789
Frame 134,16.683,0.051,121,159,63789
Frame 135,16.683,0.051,121,159,63789
Frame 136,16.683,0.051,121,159,63789
Frame 137,16.683,0.051,121,159,63789
Frame 138,16.683,0.051,121,159,63789
Frame 139,16.683,0.051,121,159,63789
Frame 140,16.683,0.051,121,159,63789
Frame 141,16.683,0.051,121,159,63789
Frame 142,16.683,0.051,121,159,63789
Frame 143,16.683,0.051,121,159,63789
Frame 144,16.683,0.051,121,159,63789
Frame 145,16.683,0.051,121,159,63789
Frame 146,16.683,0.051,121,159,63789
Frame 147,16.683,0.051,121,159,63789
Frame 148,16.683,0.051,121,159,63789
Frame 149,16.683,0.051,121,159,63789
Frame 150,16.683,0.051,121,159,63789
Frame 151,16.683,0.051,121,159,63789
Frame 152,16.683,0.051,121,159,63789
Frame 153,16.683,0.051,121,159,63789
Frame 154,16.683,0.051,121,159,63789
Frame 155,16.683,0.051,121,159,63789
Frame 156,16.683,0.051,121,159,63789
Frame 157,16.683,0.051,121,159,63789
Frame 158,16.683,0.051,121,159,63789
Frame 159,16.683,0.051,121,159,63789
Frame 160,16.683,0.051,121,159,63789
Frame 161,16.683,0.051,121,159,63789
Frame 162,16.683,0.051,121,159,63789
Frame 163,16.683,0.051,121,159,63789
Frame 164,16.683,0.051,121,159,63789
Frame 165,16.683,0.051,121,159,63789
Frame 166,16.683,0.051,121,159,63789
Frame 167,16.683,0.051,121,159,63789
Frame 168,16.683,0.051,121,159,63789
Frame 169,16.683,0.051,121,159,63789
Frame 170,16.683,0.051,121,159,63789
Frame 171,16.683,0.051,121,159,63789
Frame 172,16.683,0.052,121,159,63789
Frame 173,16.683,0.051,121,159,63789
Frame 174,16.683,0.051,121,159,63789
Frame 175,16.683,0.052,121,159,63789
Frame 176,16.683,0.051,121,159,63789
Frame 177,16.683,0.051,121,159,63789
Frame 178,16.683,0.052,121,159,63789
Frame 179,16.683,0.051,121,159,63789
Frame 180,16.683,0.051,121,159,63789
Frame 181,16.683,0.051,121,159,63789
Frame 182,16.683,0.051,121,159,63789
Frame 183,16.683,0.051,121,159,63789
Frame 184,16.683,0.051,121,159,63789
Frame 185,16.683,0.051,121,159,63789
Frame 186,16.683,0.051,121,159,63789
Frame 187,16.683,0.051,121,159,63789
Frame 188,16.683,0.051,121,159,63789
Frame 189,16.683,0.051,121,159,63789
Frame 190,16.683,0.051,121,159,63789
Frame 191,16.683,0.051,121,159,63789
Frame 192,16.683,0.051,121,159,63789
Frame 193,16.683,0.051,121,159,63789
Frame 194,16.683,0.051,121,159,63789
Frame 195,16.683,0.051,121,159,63789
Frame 196,16.683,0.051,121,159,63789
Frame 197,16.683,0.051,121,159,63789
Frame 198,16.683,0.051,121,159,63789
Frame 199,16.683,0.051,121,159,63789
Frame 200,16.683,0.051,121,159,63789
Frame 201,16.683,0.051,121,159,63789
Frame 202,16.683,0.051,121,159,63789
Frame 203,16.683,0.051,121,159,63789
Frame 204,16.683,0.051,121,159,63789
Frame 205,16.683,0.051,121,159,63789
Frame 206,16.683,0.051,121,159,63789
Frame 207,16.683,0.051,121,159,63789
Frame 208,16.683,0.051,121,159,63789
Frame 209,16.683,0.051,121,159,63789
Frame 210,16.683,0.051,121,159,63789
