FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,32.826,16.198,9,9,6176
Frame 2,16.891,16.193,9,9,6176
Frame 3,16.866,16.193,9,9,6176
Frame 4,16.864,16.197,9,9,6176
Frame 5,32.794,16.194,9,9,6176
Frame 6,16.865,16.192,9,9,6176
Frame 7,16.861,16.195,9,9,6176
Frame 8,16.867,16.199,9,9,6176
Frame 9,32.821,16.192,9,9,6176
Frame 10,16.863,16.19,9,9,6176
Frame 11,16.86,16.193,9,9,6176
Frame 12,16.863,16.198,9,9,6176
Frame 13,32.829,16.193,9,9,6176
Frame 14,16.865,16.191,9,9,6176
Frame 15,16.861,16.192,9,9,6176
Frame 16,16.863,16.196,9,9,6176
Frame 17,32.826,16.194,9,9,6176
Frame 18,16.864,16.192,9,9,6176
Frame 19,16.861,16.195,9,9,6176
Frame 20,16.867,16.199,9,9,6176
Frame 21,32.822,16.192,9,9,6176
Frame 22,16.863,16.19,9,9,6176
Frame 23,16.86,16.193,9,9,6176
Frame 24,16.864,16.198,9,9,6176
Frame 25,32.828,16.193,9,9,6176
Frame 26,16.865,16.191,9,9,6176
Frame 27,16.861,16.192,9,9,6176
Frame 28,16.863,16.197,9,9,6176
Frame 29,32.827,16.193,9,9,6176
Frame 30,16.864,16.192,9,9,6176
Frame 31,16.862,16.194,9,9,6176
Frame 32,16.866,16.199,9,9,6176
Frame 33,32.822,16.191,9,9,6176
Frame 34,16.863,16.19,9,9,6176
Frame 35,16.86,16.193,9,9,6176
Frame 36,16.863,16.199,9,9,6176
Frame 37,32.829,16.194,9,9,6176
Frame 38,16.865,16.19,9,9,6176
Frame 39,16.86,16.191,9,9,6176
Frame 40,16.863,16.196,9,9,6176
Frame 41,32.827,16.193,9,9,6176
Frame 42,16.864,16.191,9,9,6176
Frame 43,16.861,16.195,9,9,6176
Frame 44,16.867,16.199,9,9,6176
Frame 45,32.822,16.191,9,9,6176
Frame 46,16.862,16.19,9,9,6176
Frame 47,16.86,16.193,9,9,6176
Frame 48,16.864,16.198,9,9,6176
Frame 49,32.828,16.193,9,9,6176
Frame 50,16.864,16.19,9,9,6176
Frame 51,16.861,16.191,9,9,6176
Frame 52,16.863,16.198,9,9,6176
Frame 53,32.827,16.192,9,9,6176
Frame 54,16.863,16.191,9,9,6176
Frame 55,16.861,16.195,9,9,6176
Frame 56,16.867,16.197,9,9,6176
Frame 57,32.823,16.192,9,9,6176
Frame 58,16.863,16.19,9,9,6176
Frame 59,16.86,16.194,9,9,6176
