FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,66.159,49.96,49,49,104458
Frame 2,50.657,49.959,49,49,104458
Frame 3,66.125,49.958,49,49,104458
Frame 4,50.626,49.961,49,49,104458
Frame 5,66.156,49.956,49,49,104458
Frame 6,50.624,49.965,49,49,104458
Frame 7,66.159,49.954,49,49,104458
Frame 8,50.622,49.961,49,49,104458
Frame 9,66.161,49.958,49,49,104458
Frame 10,50.626,49.958,49,49,104458
Frame 11,66.157,49.96,49,49,104458
Frame 12,50.627,49.96,49,49,104458
Frame 13,66.156,49.954,49,49,104458
Frame 14,50.622,49.963,49,49,104458
Frame 15,66.161,49.955,49,49,104458
Frame 16,50.623,49.961,49,49,104458
Frame 17,66.159,49.959,49,49,104458
Frame 18,50.626,49.956,49,49,104458
Frame 19,66.156,49.957,49,49,104458
Frame 20,50.625,49.961,49,49,104458
Frame 21,66.158,49.955,49,49,104458
Frame 22,50.622,49.964,49,49,104458
Frame 23,66.16,49.956,49,49,104458
Frame 24,50.624,49.958,49,49,104458
Frame 25,66.158,49.958,49,49,104458
Frame 26,50.625,49.958,49,49,104458
Frame 27,66.157,49.956,49,49,104458
Frame 28,50.623,49.963,49,49,104458
Frame 29,66.159,49.955,49,49,104458
Frame 30,50.623,49.961,49,49,104458
Frame 31,66.159,49.957,49,49,104458
Frame 32,50.625,49.959,49,49,104458
Frame 33,66.158,49.957,49,49,104458
Frame 34,50.624,49.958,49,49,104458
Frame 35,66.158,49.958,49,49,104458
Frame 36,50.626,49.96,49,49,104458
Frame 37,66.157,49.954,49,49,104458
Frame 38,50.622,49.962,49,49,104458
Frame 39,66.16,49.954,49,49,104458
Frame 40,50.622,49.96,49,49,104458
Frame 41,66.16,49.957,49,49,104458
Frame 42,50.624,49.959,49,49,104458
Frame 43,66.158,49.959,49,49,104458
Frame 44,50.627,49.962,49,49,104458
Frame 45,66.156,49.955,49,49,104458
Frame 46,50.623,49.962,49,49,104458
Frame 47,66.16,49.956,49,49,104458
Frame 48,50.624,49.961,49,49,104458
Frame 49,66.158,49.959,49,49,104458
Frame 50,50.627,49.955,49,49,104458
Frame 51,66.155,49.956,49,49,104458
Frame 52,50.624,49.962,49,49,104458
Frame 53,66.159,49.955,49,49,104458
Frame 54,50.623,49.963,49,49,104458
Frame 55,66.159,49.957,49,49,104458
Frame 56,50.625,49.958,49,49,104458
Frame 57,66.157,49.956,49,49,104458
Frame 58,50.624,49.957,49,49,104458
Frame 59,66.159,49.956,49,49,104458
Frame 60,50.624,49.96,49,49,104458
Frame 61,66.158,49.953,49,49,104458
Frame 62,50.622,49.962,49,49,104458
Frame 63,66.161,49.957,49,49,104458
Frame 64,50.625,49.959,49,49,104458
Frame 65,66.157,49.955,49,49,104458
Frame 66,50.623,49.958,49,49,104458
Frame 67,66.159,49.958,49,49,104458
Frame 68,50.626,49.959,49,49,104458
Frame 69,66.157,49.957,49,49,104458
Frame 70,50.625,49.96,49,49,104458
Frame 71,66.158,49.953,49,49,104458
Frame 72,50.623,49.961,49,49,104458
Frame 73,66.16,49.955,49,49,104458
Frame 74,50.623,49.958,49,49,104458
Frame 75,66.159,49.959,49,49,104458
Frame 76,50.627,49.96,49,49,104458
Frame 77,66.156,49.954,49,49,104458
Frame 78,50.622,49.962,49,49,104458
Frame 79,66.161,49.956,49,49,104458
Frame 80,50.623,49.962,49,49,104458
Frame 81,66.159,49.958,49,49,104458
Frame 82,50.627,49.954,49,49,104458
Frame 83,66.155,49.956,49,49,104458
Frame 84,50.623,49.96,49,49,104458
Frame 85,66.159,49.954,49,49,104458
Frame 86,50.622,49.962,49,49,104458
Frame 87,66.16,49.957,49,49,104458
Frame 88,50.625,49.958,49,49,104458
Frame 89,66.158,49.957,49,49,104458
Frame 90,50.624,49.957,49,49,104458
Frame 91,66.158,49.957,49,49,104458
Frame 92,50.625,49.96,49,49,104458
Frame 93,66.157,49.954,49,49,104458
Frame 94,50.622,49.96,49,49,104458
Frame 95,66.161,49.954,49,49,104458
Frame 96,50.622,49.958,49,49,104458
Frame 97,66.161,49.955,49,49,104458
Frame 98,50.623,49.958,49,49,104458
Frame 99,66.159,49.957,49,49,104458
Frame 100,50.624,49.96,49,49,104458
Frame 101,66.158,49.953,49,49,104458
Frame 102,50.621,49.96,49,49,104458
Frame 103,66.162,49.954,49,49,104458
Frame 104,50.622,49.958,49,49,104458
Frame 105,66.161,49.955,49,49,104458
Frame 106,50.623,49.958,49,49,104458
Frame 107,66.159,49.958,49,49,104458
Frame 108,50.626,49.958,49,49,104458
Frame 109,66.157,49.95,49,49,104458
Frame 110,50.618,49.959,49,49,104458
Frame 111,66.164,49.953,49,49,104458
Frame 112,50.621,49.96,49,49,104458
Frame 113,66.161,49.957,49,49,104458
Frame 114,50.624,49.954,49,49,104458
Frame 115,66.158,49.956,49,49,104458
Frame 116,50.623,49.958,49,49,104458
Frame 117,66.16,49.956,49,49,104458
Frame 118,50.624,49.961,49,49,104458
Frame 119,66.159,49.956,49,49,104458
Frame 120,50.624,49.954,49,49,104458
Frame 121,66.159,49.955,49,49,104458
Frame 122,50.622,49.957,49,49,104458
Frame 123,66.16,49.956,49,49,104458
Frame 124,50.624,49.961,49,49,104458
Frame 125,66.158,49.954,49,49,104458
Frame 126,50.622,49.959,49,49,104458
Frame 127,66.16,49.956,49,49,104458
Frame 128,50.624,49.958,49,49,104458
Frame 129,66.159,49.957,49,49,104458
Frame 130,50.627,49.959,49,49,104458
Frame 131,66.155,49.959,49,49,104458
Frame 132,50.629,49.96,49,49,104458
Frame 133,66.154,49.957,49,49,104458
Frame 134,50.628,49.963,49,49,104458
Frame 135,66.155,49.957,49,49,104458
Frame 136,50.626,49.961,49,49,104458
Frame 137,66.156,49.958,49,49,104458
Frame 138,50.628,49.959,49,49,104458
Frame 139,66.154,49.959,49,49,104458
Frame 140,50.629,49.96,49,49,104458
Frame 141,66.154,49.953,49,49,104458
Frame 142,50.623,49.961,49,49,104458
Frame 143,66.16,49.956,49,49,104458
Frame 144,50.626,49.961,49,49,104458
Frame 145,66.156,49.959,49,49,104458
Frame 146,50.629,49.957,49,49,104458
Frame 147,66.154,49.955,49,49,104458
Frame 148,50.625,49.96,49,49,104458
Frame 149,66.157,49.956,49,49,104458
Frame 150,50.626,49.961,49,49,104458
Frame 151,66.156,49.957,49,49,104458
Frame 152,50.627,49.956,49,49,104458
Frame 153,66.156,49.955,49,49,104458
Frame 154,50.625,49.957,49,49,104458
Frame 155,66.157,49.956,49,49,104458
Frame 156,50.626,49.961,49,49,104458
Frame 157,66.156,49.955,49,49,104458
Frame 158,50.625,49.961,49,49,104458
Frame 159,66.157,49.957,49,49,104458
Frame 160,50.627,49.961,49,49,104458
Frame 161,66.156,49.956,49,49,104458
Frame 162,50.626,49.959,49,49,104458
Frame 163,66.156,49.959,49,49,104458
Frame 164,50.629,49.96,49,49,104458
Frame 165,66.154,49.956,49,49,104458
Frame 166,50.626,49.963,49,49,104458
Frame 167,66.156,49.956,49,49,104458
Frame 168,50.626,49.962,49,49,104458
Frame 169,66.156,49.958,49,49,104458
Frame 170,50.628,49.959,49,49,104458
Frame 171,66.154,49.96,49,49,104458
Frame 172,50.63,49.96,49,49,104458
