FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,33.366,30.004,169,169,92043
Frame 2,33.366,29.998,169,169,92043
Frame 3,33.366,29.997,169,169,92043
Frame 4,33.366,30,169,169,92043
Frame 5,33.366,30.001,169,169,92043
Frame 6,33.366,30.002,169,169,92043
Frame 7,33.366,29.989,169,169,92043
Frame 8,33.366,30.002,169,169,92043
Frame 9,33.366,29.99,169,169,92043
Frame 10,33.366,29.993,169,169,92043
Frame 11,33.366,30.004,169,169,92043
Frame 12,33.366,29.999,169,169,92043
Frame 13,33.366,30.001,169,169,92043
Frame 14,33.366,29.996,169,169,92043
Frame 15,33.366,29.999,169,169,92043
Frame 16,33.366,29.987,169,169,92043
Frame 17,33.366,29.995,169,169,92043
Frame 18,33.366,29.998,169,169,92043
Frame 19,33.366,29.997,169,169,92043
Frame 20,33.366,30,169,169,92043
Frame 21,33.366,30.002,169,169,92043
Frame 22,33.366,30.003,169,169,92043
Frame 23,33.366,29.989,169,169,92043
Frame 24,33.366,30.004,169,169,92043
Frame 25,33.366,29.991,169,169,92043
Frame 26,33.366,29.993,169,169,92043
Frame 27,33.366,30.004,169,169,92043
Frame 28,33.366,29.999,169,169,92043
Frame 29,33.366,30.002,169,169,92043
Frame 30,33.366,29.996,169,169,92043
Frame 31,33.366,30,169,169,92043
Frame 32,33.366,29.988,169,169,92043
Frame 33,33.366,29.996,169,169,92043
Frame 34,33.366,29.999,169,169,92043
Frame 35,33.366,29.997,169,169,92043
Frame 36,33.366,30.001,169,169,92043
Frame 37,33.367,30.002,169,169,92043
Frame 38,33.366,30.003,169,169,92043
Frame 39,33.366,29.989,169,169,92043
Frame 40,33.367,30.002,169,169,92043
Frame 41,33.366,29.991,169,169,92043
Frame 42,33.366,29.992,169,169,92043
Frame 43,33.367,30.003,169,169,92043
Frame 44,33.366,29.998,169,169,92043
Frame 45,33.366,30.002,169,169,92043
Frame 46,33.366,29.996,169,169,92043
Frame 47,33.366,30,169,169,92043
Frame 48,33.366,29.988,169,169,92043
Frame 49,33.366,29.994,169,169,92043
Frame 50,33.366,29.998,169,169,92043
Frame 51,33.366,29.997,169,169,92043
Frame 52,33.366,30,169,169,92043
Frame 53,33.366,30.002,169,169,92043
Frame 54,33.366,30.002,169,169,92043
