FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,38.899,0.161,289,401,154109
Frame 2,38.973,0.148,289,401,154109
Frame 3,38.821,0.147,289,401,154109
Frame 4,38.635,0.147,289,401,154109
Frame 5,38.402,0.147,289,401,154109
Frame 6,37.923,0.148,289,401,154109
Frame 7,38.183,0.148,289,401,154109
Frame 8,38.036,0.148,289,401,154109
Frame 9,37.606,0.148,289,401,154109
Frame 10,36.977,0.147,289,401,154109
Frame 11,36.657,0.147,289,401,154109
Frame 12,36.704,0.148,289,401,154109
Frame 13,37.095,0.148,289,401,154109
Frame 14,37.504,0.148,289,401,154109
Frame 15,37.482,0.148,289,401,154109
Frame 16,37.259,0.148,289,401,154109
Frame 17,36.837,0.148,289,401,154109
Frame 18,37.173,0.148,289,401,154109
Frame 19,37.312,0.148,289,401,154109
Frame 20,37.046,0.148,289,401,154109
Frame 21,35.986,0.147,289,401,154109
Frame 22,35.038,0.148,289,401,154109
Frame 23,34.754,0.148,289,401,154109
Frame 24,34.726,0.148,289,401,154109
Frame 25,34.63,0.148,289,401,154109
Frame 26,34.313,0.148,289,401,154109
Frame 27,34.583,0.148,289,401,154109
Frame 28,34.577,0.148,289,401,154109
Frame 29,34.113,0.148,289,401,154109
Frame 30,33.91,0.148,289,401,154109
Frame 31,33.351,0.148,289,401,154109
Frame 32,32.739,0.148,289,401,154109
Frame 33,32.39,0.148,289,401,154109
Frame 34,32.029,0.148,289,401,154109
Frame 35,31.766,0.148,289,401,154109
Frame 36,31.461,0.148,289,401,154109
Frame 37,31.481,0.148,289,401,154109
Frame 38,31.506,0.147,289,401,154109
Frame 39,31.538,0.148,289,401,154109
Frame 40,31.576,0.148,289,401,154109
Frame 41,31.616,0.147,289,401,154109
Frame 42,31.646,0.148,289,401,154109
Frame 43,31.642,0.148,289,401,154109
Frame 44,31.629,0.148,289,401,154109
Frame 45,31.63,0.15,289,401,154109
Frame 46,31.677,0.148,289,401,154109
Frame 47,31.748,0.148,289,401,154109
Frame 48,31.747,0.149,289,401,154109
Frame 49,31.757,0.147,289,401,154109
Frame 50,31.744,0.148,289,401,154109
Frame 51,31.739,0.147,289,401,154109
Frame 52,31.743,0.149,289,401,154109
Frame 53,31.731,0.147,289,401,154109
Frame 54,31.745,0.148,289,401,154109
Frame 55,31.781,0.147,289,401,154109
Frame 56,31.79,0.149,289,401,154109
Frame 57,31.77,0.147,289,401,154109
Frame 58,31.725,0.147,289,401,154109
Frame 59,31.721,0.147,289,401,154109
Frame 60,31.712,0.147,289,401,154109
Frame 61,31.714,0.148,289,401,154109
Frame 62,31.786,0.147,289,401,154109
Frame 63,31.832,0.148,289,401,154109
Frame 64,31.773,0.147,289,401,154109
Frame 65,31.719,0.147,289,401,154109
Frame 66,31.628,0.147,289,401,154109
Frame 67,31.553,0.147,289,401,154109
Frame 68,31.543,0.147,289,401,154109
Frame 69,31.542,0.148,289,401,154109
Frame 70,31.579,0.147,289,401,154109
Frame 71,31.611,0.147,289,401,154109
Frame 72,31.623,0.147,289,401,154109
Frame 73,31.626,0.148,289,401,154109
Frame 74,31.634,0.147,289,401,154109
Frame 75,31.637,0.147,289,401,154109
Frame 76,31.607,0.149,289,401,154109
Frame 77,31.549,0.147,289,401,154109
Frame 78,31.521,0.149,289,401,154109
Frame 79,31.526,0.147,289,401,154109
Frame 80,31.529,0.149,289,401,154109
Frame 81,31.528,0.147,289,401,154109
Frame 82,31.531,0.149,289,401,154109
Frame 83,31.542,0.147,289,401,154109
Frame 84,31.554,0.149,289,401,154109
Frame 85,31.574,0.148,289,401,154109
Frame 86,31.613,0.148,289,401,154109
Frame 87,31.676,0.147,289,401,154109
Frame 88,31.765,0.148,289,401,154109
Frame 89,31.843,0.148,289,401,154109
Frame 90,31.889,0.148,289,401,154109
Frame 91,31.957,0.148,289,401,154109
Frame 92,31.999,0.148,289,401,154109
Frame 93,32.005,0.148,289,401,154109
Frame 94,31.977,0.148,289,401,154109
Frame 95,31.865,0.15,289,401,154109
Frame 96,31.751,0.148,289,401,154109
Frame 97,31.653,0.148,289,401,154109
Frame 98,31.576,0.153,289,401,154109
Frame 99,31.57,0.147,289,401,154109
Frame 100,31.577,0.148,289,401,154109
Frame 101,31.603,0.148,289,401,154109
Frame 102,31.636,0.148,289,401,154109
Frame 103,31.67,0.149,289,401,154109
Frame 104,31.705,0.147,289,401,154109
Frame 105,31.735,0.148,289,401,154109
Frame 106,31.753,0.148,289,401,154109
Frame 107,31.741,0.147,289,401,154109
Frame 108,31.69,0.148,289,401,154109
Frame 109,31.624,0.148,289,401,154109
Frame 110,31.564,0.148,289,401,154109
Frame 111,31.535,0.148,289,401,154109
Frame 112,31.537,0.148,289,401,154109
Frame 113,31.543,0.148,289,401,154109
Frame 114,31.523,0.148,289,401,154109
Frame 115,31.503,0.148,289,401,154109
Frame 116,31.482,0.147,289,401,154109
Frame 117,31.489,0.15,289,401,154109
Frame 118,31.522,0.147,289,401,154109
Frame 119,31.553,0.148,289,401,154109
Frame 120,31.584,0.147,289,401,154109
Frame 121,31.602,0.148,289,401,154109
Frame 122,31.624,0.148,289,401,154109
Frame 123,31.621,0.147,289,401,154109
Frame 124,31.596,0.147,289,401,154109
Frame 125,31.577,0.148,289,401,154109
Frame 126,31.571,0.147,289,401,154109
Frame 127,31.562,0.148,289,401,154109
Frame 128,31.55,0.148,289,401,154109
Frame 129,31.548,0.148,289,401,154109
Frame 130,31.546,0.148,289,401,154109
Frame 131,31.542,0.148,289,401,154109
Frame 132,31.531,0.148,289,401,154109
Frame 133,31.546,0.148,289,401,154109
Frame 134,31.578,0.148,289,401,154109
Frame 135,31.627,0.148,289,401,154109
Frame 136,31.669,0.148,289,401,154109
Frame 137,31.7,0.148,289,401,154109
Frame 138,31.719,0.148,289,401,154109
Frame 139,31.686,0.148,289,401,154109
Frame 140,31.704,0.148,289,401,154109
Frame 141,31.733,0.148,289,401,154109
Frame 142,31.743,0.15,289,401,154109
Frame 143,31.741,0.148,289,401,154109
Frame 144,31.659,0.148,289,401,154109
Frame 145,31.6,0.148,289,401,154109
Frame 146,31.553,0.148,289,401,154109
Frame 147,31.522,0.148,289,401,154109
Frame 148,31.532,0.148,289,401,154109
Frame 149,31.538,0.15,289,401,154109
Frame 150,31.55,0.148,289,401,154109
Frame 151,31.562,0.15,289,401,154109
Frame 152,31.581,0.148,289,401,154109
Frame 153,31.606,0.148,289,401,154109
Frame 154,31.631,0.148,289,401,154109
Frame 155,31.634,0.148,289,401,154109
Frame 156,31.611,0.15,289,401,154109
Frame 157,31.579,0.148,289,401,154109
Frame 158,31.55,0.149,289,401,154109
Frame 159,31.546,0.148,289,401,154109
Frame 160,31.541,0.148,289,401,154109
Frame 161,31.538,0.148,289,401,154109
Frame 162,31.554,0.148,289,401,154109
Frame 163,31.553,0.148,289,401,154109
Frame 164,31.561,0.148,289,401,154109
Frame 165,31.579,0.149,289,401,154109
Frame 166,31.591,0.148,289,401,154109
Frame 167,31.618,0.15,289,401,154109
Frame 168,31.659,0.148,289,401,154109
Frame 169,31.634,0.148,289,401,154109
Frame 170,31.6,0.148,289,401,154109
Frame 171,31.587,0.148,289,401,154109
Frame 172,31.572,0.15,289,401,154109
Frame 173,31.56,0.148,289,401,154109
Frame 174,31.528,0.15,289,401,154109
Frame 175,31.496,0.148,289,401,154109
Frame 176,31.489,0.15,289,401,154109
Frame 177,31.488,0.148,289,401,154109
