FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,38.912,0.161,289,401,154109
Frame 2,38.987,0.149,289,401,154109
Frame 3,38.833,0.149,289,401,154109
Frame 4,38.649,0.149,289,401,154109
Frame 5,38.415,0.149,289,401,154109
Frame 6,37.936,0.151,289,401,154109
Frame 7,38.197,0.149,289,401,154109
Frame 8,38.049,0.149,289,401,154109
Frame 9,37.618,0.149,289,401,154109
Frame 10,36.988,0.149,289,401,154109
Frame 11,36.669,0.149,289,401,154109
Frame 12,36.716,0.149,289,401,154109
Frame 13,37.107,0.149,289,401,154109
Frame 14,37.517,0.149,289,401,154109
Frame 15,37.494,0.149,289,401,154109
Frame 16,37.271,0.149,289,401,154109
Frame 17,36.849,0.149,289,401,154109
Frame 18,37.184,0.149,289,401,154109
Frame 19,37.324,0.149,289,401,154109
Frame 20,37.057,0.149,289,401,154109
Frame 21,35.997,0.149,289,401,154109
Frame 22,35.049,0.149,289,401,154109
Frame 23,34.765,0.149,289,401,154109
Frame 24,34.737,0.149,289,401,154109
Frame 25,34.64,0.149,289,401,154109
Frame 26,34.323,0.149,289,401,154109
Frame 27,34.592,0.149,289,401,154109
Frame 28,34.588,0.149,289,401,154109
Frame 29,34.123,0.149,289,401,154109
Frame 30,33.919,0.149,289,401,154109
Frame 31,33.36,0.149,289,401,154109
Frame 32,32.748,0.149,289,401,154109
Frame 33,32.398,0.149,289,401,154109
Frame 34,32.037,0.149,289,401,154109
Frame 35,31.774,0.149,289,401,154109
Frame 36,31.47,0.15,289,401,154109
Frame 37,31.489,0.149,289,401,154109
Frame 38,31.515,0.151,289,401,154109
Frame 39,31.545,0.149,289,401,154109
Frame 40,31.583,0.149,289,401,154109
Frame 41,31.624,0.149,289,401,154109
Frame 42,31.654,0.149,289,401,154109
Frame 43,31.649,0.15,289,401,154109
Frame 44,31.637,0.149,289,401,154109
Frame 45,31.639,0.149,289,401,154109
Frame 46,31.686,0.149,289,401,154109
Frame 47,31.756,0.149,289,401,154109
Frame 48,31.756,0.149,289,401,154109
Frame 49,31.764,0.149,289,401,154109
Frame 50,31.752,0.149,289,401,154109
Frame 51,31.747,0.149,289,401,154109
Frame 52,31.751,0.149,289,401,154109
Frame 53,31.738,0.15,289,401,154109
Frame 54,31.753,0.149,289,401,154109
Frame 55,31.789,0.149,289,401,154109
Frame 56,31.798,0.149,289,401,154109
Frame 57,31.779,0.149,289,401,154109
Frame 58,31.733,0.149,289,401,154109
Frame 59,31.729,0.149,289,401,154109
Frame 60,31.72,0.149,289,401,154109
Frame 61,31.723,0.15,289,401,154109
Frame 62,31.795,0.149,289,401,154109
Frame 63,31.839,0.149,289,401,154109
Frame 64,31.78,0.149,289,401,154109
Frame 65,31.727,0.15,289,401,154109
Frame 66,31.636,0.149,289,401,154109
Frame 67,31.561,0.149,289,401,154109
Frame 68,31.551,0.149,289,401,154109
Frame 69,31.55,0.149,289,401,154109
Frame 70,31.587,0.149,289,401,154109
Frame 71,31.62,0.149,289,401,154109
Frame 72,31.631,0.151,289,401,154109
Frame 73,31.634,0.149,289,401,154109
Frame 74,31.641,0.149,289,401,154109
Frame 75,31.645,0.149,289,401,154109
Frame 76,31.615,0.149,289,401,154109
Frame 77,31.557,0.15,289,401,154109
Frame 78,31.529,0.149,289,401,154109
Frame 79,31.534,0.15,289,401,154109
Frame 80,31.536,0.149,289,401,154109
Frame 81,31.537,0.149,289,401,154109
Frame 82,31.539,0.149,289,401,154109
Frame 83,31.55,0.151,289,401,154109
Frame 84,31.563,0.149,289,401,154109
Frame 85,31.581,0.149,289,401,154109
Frame 86,31.621,0.149,289,401,154109
Frame 87,31.684,0.149,289,401,154109
Frame 88,31.774,0.149,289,401,154109
Frame 89,31.851,0.149,289,401,154109
Frame 90,31.896,0.15,289,401,154109
Frame 91,31.965,0.15,289,401,154109
Frame 92,32.007,0.151,289,401,154109
Frame 93,32.014,0.15,289,401,154109
Frame 94,31.985,0.149,289,401,154109
Frame 95,31.873,0.149,289,401,154109
Frame 96,31.759,0.149,289,401,154109
Frame 97,31.661,0.149,289,401,154109
Frame 98,31.584,0.149,289,401,154109
Frame 99,31.577,0.149,289,401,154109
Frame 100,31.586,0.149,289,401,154109
Frame 101,31.61,0.149,289,401,154109
Frame 102,31.644,0.149,289,401,154109
