FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,50.049,38.69,9,9,122720
Frame 2,50.05,38.689,9,9,122720
Frame 3,50.049,39.31,9,9,122720
Frame 4,50.05,39.445,9,9,122720
Frame 5,50.049,39.496,9,9,122720
Frame 6,50.05,39.484,9,9,122720
Frame 7,50.049,39.5,9,9,122720
Frame 8,50.05,40.045,9,9,122720
Frame 9,50.05,40.246,9,9,122720
Frame 10,50.05,40.429,9,9,122720
Frame 11,50.05,40.562,9,9,122720
Frame 12,50.05,40.595,9,9,122720
Frame 13,50.05,40.687,9,9,122720
Frame 14,50.049,40.775,9,9,122720
Frame 15,50.049,40.861,9,9,122720
Frame 16,50.05,40.965,9,9,122720
Frame 17,50.05,41,9,9,122720
Frame 18,50.05,41.058,9,9,122720
Frame 19,50.049,41.121,9,9,122720
Frame 20,50.05,41.114,9,9,122720
Frame 21,50.049,41.117,9,9,122720
Frame 22,50.049,41.106,9,9,122720
Frame 23,50.05,41.142,9,9,122720
Frame 24,50.05,41.043,9,9,122720
Frame 25,50.049,41.015,9,9,122720
Frame 26,50.049,40.926,9,9,122720
Frame 27,50.049,40.822,9,9,122720
Frame 28,50.05,40.687,9,9,122720
Frame 29,50.049,40.563,9,9,122720
Frame 30,50.049,40.045,9,9,122720
Frame 31,50.05,40.046,9,9,122720
Frame 32,50.05,39.961,9,9,122720
Frame 33,50.05,39.928,9,9,122720
Frame 34,50.05,39.807,9,9,122720
Frame 35,50.05,39.768,9,9,122720
Frame 36,50.05,39.843,9,9,122720
Frame 37,50.05,39.752,9,9,122720
Frame 38,50.05,39.638,9,9,122720
Frame 39,50.05,39.474,9,9,122720
Frame 40,50.05,39.298,9,9,122720
Frame 41,50.05,39.16,9,9,122720
Frame 42,50.05,38.689,9,9,122720
Frame 43,50.049,38.687,9,9,122720
Frame 44,50.05,38.681,9,9,122720
Frame 45,50.049,39.319,9,9,122720
Frame 46,50.05,39.437,9,9,122720
Frame 47,50.05,39.487,9,9,122720
Frame 48,50.05,39.559,9,9,122720
Frame 49,50.049,39.534,9,9,122720
Frame 50,50.05,40.094,9,9,122720
Frame 51,50.049,40.102,9,9,122720
Frame 52,50.05,40.249,9,9,122720
Frame 53,50.05,40.386,9,9,122720
Frame 54,50.049,40.473,9,9,122720
Frame 55,50.05,40.549,9,9,122720
Frame 56,50.049,40.628,9,9,122720
Frame 57,50.05,40.683,9,9,122720
Frame 58,50.049,40.774,9,9,122720
Frame 59,50.05,40.852,9,9,122720
Frame 60,50.049,40.913,9,9,122720
Frame 61,50.05,40.995,9,9,122720
Frame 62,50.049,41.055,9,9,122720
Frame 63,50.05,41.118,9,9,122720
Frame 64,50.05,41.211,9,9,122720
Frame 65,50.049,41.253,9,9,122720
Frame 66,50.05,41.357,9,9,122720
Frame 67,50.049,41.416,9,9,122720
Frame 68,50.05,41.457,9,9,122720
Frame 69,50.05,41.539,9,9,122720
Frame 70,50.049,41.566,9,9,122720
Frame 71,50.049,41.635,9,9,122720
Frame 72,50.05,41.674,9,9,122720
Frame 73,50.049,41.663,9,9,122720
Frame 74,50.05,41.674,9,9,122720
Frame 75,50.049,41.666,9,9,122720
Frame 76,50.05,41.64,9,9,122720
Frame 77,50.049,41.629,9,9,122720
Frame 78,50.05,41.602,9,9,122720
Frame 79,50.049,41.584,9,9,122720
Frame 80,50.05,41.577,9,9,122720
Frame 81,50.049,41.528,9,9,122720
Frame 82,50.05,41.527,9,9,122720
Frame 83,50.049,41.515,9,9,122720
Frame 84,50.05,41.494,9,9,122720
Frame 85,50.049,41.495,9,9,122720
Frame 86,50.05,41.464,9,9,122720
Frame 87,50.049,41.462,9,9,122720
Frame 88,50.05,41.457,9,9,122720
Frame 89,50.049,41.423,9,9,122720
Frame 90,50.05,41.418,9,9,122720
Frame 91,50.049,41.393,9,9,122720
Frame 92,50.05,41.338,9,9,122720
Frame 93,50.049,41.288,9,9,122720
Frame 94,50.05,41.212,9,9,122720
Frame 95,50.049,41.118,9,9,122720
Frame 96,50.05,41.008,9,9,122720
Frame 97,50.05,40.821,9,9,122720
Frame 98,50.05,40.632,9,9,122720
Frame 99,50.05,40.613,9,9,122720
Frame 100,50.049,40.431,9,9,122720
Frame 101,50.05,40.247,9,9,122720
Frame 102,50.049,40.058,9,9,122720
Frame 103,50.049,39.901,9,9,122720
Frame 104,50.05,39.743,9,9,122720
Frame 105,50.049,39.578,9,9,122720
