FRAME,FRAME TIME (ms),DRAW TIME (ms),CHUNKS DRAWN,DRAW CALLS,FACES DRAWN
Frame 1,21.324,0.089,169,230,92043
Frame 2,21.355,0.074,169,230,92043
Frame 3,21.353,0.073,169,230,92043
Frame 4,21.381,0.073,169,230,92043
Frame 5,21.406,0.073,169,230,92043
Frame 6,21.423,0.073,169,230,92043
Frame 7,21.435,0.073,169,230,92043
Frame 8,21.447,0.073,169,230,92043
Frame 9,21.467,0.073,169,230,92043
Frame 10,21.485,0.073,169,230,92043
Frame 11,21.498,0.073,169,230,92043
Frame 12,21.519,0.073,169,230,92043
Frame 13,21.542,0.073,169,230,92043
Frame 14,21.569,0.073,169,230,92043
Frame 15,21.618,0.073,169,230,92043
Frame 16,21.656,0.075,169,230,92043
Frame 17,21.662,0.073,169,230,92043
Frame 18,21.654,0.073,169,230,92043
Frame 19,21.627,0.073,169,230,92043
Frame 20,21.557,0.073,169,230,92043
Frame 21,21.469,0.073,169,230,92043
Frame 22,21.498,0.073,169,230,92043
Frame 23,21.537,0.076,169,230,92043
Frame 24,21.562,0.073,169,230,92043
Frame 25,21.581,0.075,169,230,92043
Frame 26,21.594,0.073,169,230,92043
Frame 27,21.596,0.073,169,230,92043
Frame 28,21.578,0.073,169,230,92043
Frame 29,21.585,0.073,169,230,92043
Frame 30,21.592,0.074,169,230,92043
Frame 31,21.617,0.073,169,230,92043
Frame 32,21.659,0.073,169,230,92043
Frame 33,21.677,0.073,169,230,92043
Frame 34,21.683,0.073,169,230,92043
Frame 35,21.703,0.073,169,230,92043
Frame 36,21.693,0.073,169,230,92043
Frame 37,21.678,0.073,169,230,92043
Frame 38,21.652,0.073,169,230,92043
Frame 39,21.643,0.073,169,230,92043
Frame 40,21.626,0.073,169,230,92043
Frame 41,21.67,0.073,169,230,92043
Frame 42,21.757,0.073,169,230,92043
Frame 43,21.865,0.073,169,230,92043
Frame 44,21.882,0.073,169,230,92043
Frame 45,21.839,0.073,169,230,92043
Frame 46,21.77,0.073,169,230,92043
Frame 47,21.702,0.073,169,230,92043
Frame 48,21.596,0.073,169,230,92043
Frame 49,21.479,0.073,169,230,92043
Frame 50,21.43,0.073,169,230,92043
Frame 51,21.435,0.073,169,230,92043
Frame 52,21.453,0.073,169,230,92043
Frame 53,21.484,0.073,169,230,92043
Frame 54,21.513,0.073,169,230,92043
Frame 55,21.545,0.073,169,230,92043
Frame 56,21.567,0.073,169,230,92043
Frame 57,21.595,0.073,169,230,92043
Frame 58,21.635,0.073,169,230,92043
Frame 59,21.661,0.073,169,230,92043
Frame 60,21.663,0.073,169,230,92043
Frame 61,21.629,0.073,169,230,92043
Frame 62,21.602,0.075,169,230,92043
Frame 63,21.578,0.073,169,230,92043
Frame 64,21.566,0.073,169,230,92043
Frame 65,21.595,0.073,169,230,92043
Frame 66,21.581,0.073,169,230,92043
Frame 67,21.57,0.073,169,230,92043
Frame 68,21.537,0.073,169,230,92043
Frame 69,21.488,0.073,169,230,92043
Frame 70,21.429,0.073,169,230,92043
Frame 71,21.405,0.073,169,230,92043
Frame 72,21.417,0.075,169,230,92043
Frame 73,21.425,0.073,169,230,92043
Frame 74,21.449,0.073,169,230,92043
Frame 75,21.48,0.073,169,230,92043
Frame 76,21.511,0.073,169,230,92043
Frame 77,21.537,0.073,169,230,92043
Frame 78,21.534,0.073,169,230,92043
Frame 79,21.521,0.073,169,230,92043
Frame 80,21.508,0.073,169,230,92043
Frame 81,21.49,0.073,169,230,92043
Frame 82,21.481,0.073,169,230,92043
Frame 83,21.472,0.073,169,230,92043
Frame 84,21.476,0.073,169,230,92043
Frame 85,21.494,0.073,169,230,92043
Frame 86,21.514,0.073,169,230,92043
Frame 87,21.542,0.073,169,230,92043
Frame 88,21.565,0.073,169,230,92043
Frame 89,21.591,0.073,169,230,92043
Frame 90,21.603,0.075,169,230,92043
Frame 91,21.591,0.073,169,230,92043
Frame 92,21.566,0.073,169,230,92043
Frame 93,21.502,0.073,169,230,92043
Frame 94,21.448,0.073,169,230,92043
Frame 95,21.454,0.073,169,230,92043
Frame 96,21.46,0.075,169,230,92043
Frame 97,21.459,0.073,169,230,92043
Frame 98,21.446,0.073,169,230,92043
Frame 99,21.424,0.073,169,230,92043
Frame 100,21.406,0.073,169,230,92043
Frame 101,21.385,0.073,169,230,92043
Frame 102,21.367,0.073,169,230,92043
Frame 103,21.352,0.073,169,230,92043
Frame 104,21.356,0.073,169,230,92043
Frame 105,21.367,0.073,169,230,92043
Frame 106,21.37,0.073,169,230,92043
Frame 107,21.379,0.073,169,230,92043
Frame 108,21.394,0.073,169,230,92043
Frame 109,21.397,0.073,169,230,92043
Frame 110,21.399,0.073,169,230,92043
Frame 111,21.396,0.073,169,230,92043
Frame 112,21.392,0.073,169,230,92043
Frame 113,21.398,0.073,169,230,92043
Frame 114,21.429,0.073,169,230,92043
Frame 115,21.463,0.073,169,230,92043
Frame 116,21.494,0.073,169,230,92043
Frame 117,21.52,0.073,169,230,92043
Frame 118,21.541,0.073,169,230,92043
Frame 119,21.557,0.073,169,230,92043
Frame 120,21.567,0.075,169,230,92043
Frame 121,21.561,0.073,169,230,92043
Frame 122,21.545,0.073,169,230,92043
Frame 123,21.532,0.073,169,230,92043
Frame 124,21.524,0.073,169,230,92043
Frame 125,21.524,0.073,169,230,92043
Frame 126,21.516,0.073,169,230,92043
Frame 127,21.505,0.073,169,230,92043
Frame 128,21.49,0.073,169,230,92043
Frame 129,21.483,0.073,169,230,92043
Frame 130,21.475,0.075,169,230,92043
Frame 131,21.474,0.073,169,230,92043
Frame 132,21.465,0.073,169,230,92043
Frame 133,21.47,0.073,169,230,92043
Frame 134,21.483,0.073,169,230,92043
Frame 135,21.498,0.073,169,230,92043
Frame 136,21.529,0.073,169,230,92043
Frame 137,21.582,0.073,169,230,92043
Frame 138,21.614,0.075,169,230,92043
Frame 139,21.636,0.073,169,230,92043
Frame 140,21.641,0.073,169,230,92043
Frame 141,21.628,0.073,169,230,92043
Frame 142,21.589,0.073,169,230,92043
Frame 143,21.555,0.075,169,230,92043
Frame 144,21.531,0.073,169,230,92043
Frame 145,21.501,0.075,169,230,92043
Frame 146,21.5,0.073,169,230,92043
Frame 147,21.517,0.075,169,230,92043
Frame 148,21.541,0.073,169,230,92043
Frame 149,21.559,0.073,169,230,92043
Frame 150,21.567,0.073,169,230,92043
Frame 151,21.578,0.073,169,230,92043
Frame 152,21.593,0.073,169,230,92043
Frame 153,21.614,0.073,169,230,92043
Frame 154,21.62,0.075,169,230,92043
Frame 155,21.595,0.073,169,230,92043
Frame 156,21.567,0.073,169,230,92043
Frame 157,21.549,0.073,169,230,92043
Frame 158,21.541,0.073,169,230,92043
Frame 159,21.551,0.073,169,230,92043
Frame 160,21.555,0.073,169,230,92043
Frame 161,21.571,0.073,169,230,92043
Frame 162,21.579,0.073,169,230,92043
Frame 163,21.615,0.073,169,230,92043
Frame 164,21.655,0.073,169,230,92043
Frame 165,21.716,0.073,169,230,92043
Frame 166,21.805,0.073,169,230,92043
Frame 167,21.868,0.073,169,230,92043
Frame 168,21.87,0.073,169,230,92043
Frame 169,21.77,0.073,169,230,92043
Frame 170,21.769,0.073,169,230,92043
Frame 171,21.75,0.073,169,230,92043
Frame 172,21.73,0.073,169,230,92043
Frame 173,21.759,0.073,169,230,92043
Frame 174,21.761,0.073,169,230,92043
Frame 175,21.819,0.073,169,230,92043
Frame 176,21.829,0.075,169,230,92043
Frame 177,21.835,0.073,169,230,92043
Frame 178,21.855,0.073,169,230,92043
Frame 179,21.838,0.073,169,230,92043
Frame 180,21.787,0.073,169,230,92043
Frame 181,21.712,0.075,169,230,92043
Frame 182,21.637,0.073,169,230,92043
Frame 183,21.574,0.073,169,230,92043
Frame 184,21.546,0.073,169,230,92043
Frame 185,21.562,0.073,169,230,92043
Frame 186,21.535,0.073,169,230,92043
Frame 187,21.525,0.073,169,230,92043
Frame 188,21.504,0.073,169,230,92043
Frame 189,21.483,0.073,169,230,92043
Frame 190,21.457,0.073,169,230,92043
Frame 191,21.445,0.073,169,230,92043
Frame 192,21.453,0.073,169,230,92043
Frame 193,21.476,0.073,169,230,92043
Frame 194,21.578,0.073,169,230,92043
Frame 195,21.608,0.073,169,230,92043
Frame 196,21.609,0.073,169,230,92043
Frame 197,21.607,0.073,169,230,92043
Frame 198,21.586,0.075,169,230,92043
Frame 199,21.563,0.073,169,230,92043
Frame 200,21.545,0.073,169,230,92043
Frame 201,21.523,0.073,169,230,92043
Frame 202,21.496,0.073,169,230,92043
Frame 203,21.454,0.073,169,230,92043
Frame 204,21.416,0.073,169,230,92043
Frame 205,21.411,0.073,169,230,92043
Frame 206,21.406,0.073,169,230,92043
Frame 207,21.391,0.073,169,230,92043
Frame 208,21.379,0.073,169,230,92043
Frame 209,21.376,0.073,169,230,92043
Frame 210,21.376,0.073,169,230,92043
Frame 211,21.382,0.073,169,230,92043
Frame 212,21.398,0.073,169,230,92043
Frame 213,21.424,0.073,169,230,92043
